Name,Addresses
Baltimore County,280118
Baltimore City,218565
Prince George's County,217877
Anne Arundel County,43882
Montgomery County,21761
Howard County,14696
Harford County,4042
Frederick County,2536
Calvert County,1260
Somerset County,853
Allegany County,728
Worcester County,613
Carroll County,376
Queen Anne's County,272
Charles County,221
Garrett County,215
Washington County,184
Cecil County,161
Saint Mary's County,140
Wicomico County,96
Talbot County,83
Dorchester County,49
Kent County,41
Caroline County,23